candidate_id,complete_config_id,family,level,interval_fast_blocks,interval_mid_blocks,interval_slow_blocks,residual_new_weight,threshold_scale,block_size_samples,algorithm,paired_reference_algorithm,trajectory,seed,output_snr_db,a2_output_snr_db,paired_snr_difference_db,frequency_mae_hz,tracker_calls,a2_tracker_calls,tracker_calls_reduction_fraction,state_fast_samples,state_mid_samples,state_slow_samples,state_transitions,host_ns_per_sample,host_tsc_ticks_per_sample,finite
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F3,105,15.732197071,15.699915317,0.03228175399999955,0.070937513,320,160,-1.0,8000,0,0,0,5615.0875,12936.9385,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F3,106,15.860044938,15.839506387,0.020538550999999572,0.06994785,320,160,-1.0,8000,0,0,0,5834.8125,13443.3085,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F3,107,15.889118608,15.867205328,0.021913279999999702,0.07002598,320,160,-1.0,8000,0,0,0,5437.125,12526.86725,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F3,108,15.792746591,15.775287621,0.01745896999999985,0.073698019,320,160,-1.0,8000,0,0,0,5530.225,12741.432,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F3,109,15.765317858,15.744740631,0.020577226999998643,0.071041821,320,160,-1.0,8000,0,0,0,5511.05,12697.252875,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F4,100,14.850048456,14.628981172,0.22106728400000009,0.220305289,320,160,-1.0,8000,0,0,0,5646.3125,13008.92625,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F4,101,14.830509594,14.6456862,0.18482339400000036,0.211786303,320,160,-1.0,8000,0,0,0,5546.7625,12779.513,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F4,102,14.841452564,14.640476007,0.2009765570000006,0.21155516,320,160,-1.0,8000,0,0,0,5424.2625,12497.294125,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F4,103,14.857157857,14.669328105,0.18782975200000074,0.211795616,320,160,-1.0,8000,0,0,0,5576.675,12848.407125,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F4,104,14.927119293,14.721445583,0.205673710000001,0.212545312,320,160,-1.0,8000,0,0,0,5508.025,12690.22375,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F4,105,14.839433364,14.645887715,0.19354564899999893,0.212161355,320,160,-1.0,8000,0,0,0,5527.975,12736.23525,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F4,106,14.913463052,14.700889168,0.2125738840000011,0.216789447,320,160,-1.0,8000,0,0,0,5549.3125,12785.389625,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F4,107,14.95507291,14.742834364,0.21223854600000003,0.215383268,320,160,-1.0,8000,0,0,0,5653.4375,13025.218,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F4,108,14.841726436,14.621937906,0.21978853000000065,0.220224572,320,160,-1.0,8000,0,0,0,5534.4,12751.0355,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F4,109,14.818326927,14.608883071,0.20944385600000004,0.217646542,320,160,-1.0,8000,0,0,0,5580.0375,12856.103125,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F1,100,14.183063351,14.183063827,-4.7600000030456613e-07,0.07927289,39,160,0.75625,1449,350,6201,5,612.275,1410.61375,1
