archive,trajectory,pli_amplitude,noise,seed,algorithm,algorithm_name,search_mode,output_snr_db,frequency_mae_hz,rmse,tracker_calls,tracker_searches,tracker_grid_evaluations
main_F0_P020_Z0_N0.npz,F0,0.2,0,1009,2,A2,0,22.29081893332112,0.00624995231628418,0.011184359783828132,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1009,2,A2,1,22.29081893332112,0.00624995231628418,0.011184359783828132,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1009,3,A3,0,22.172412622740918,0.029999971389770508,0.011337869260771965,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1009,3,A3,1,22.172412622740918,0.029999971389770508,0.011337869260771965,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1009,7,B4,0,22.3220413264681,0.0,0.01114422853410825,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1009,7,B4,1,22.3220413264681,0.0,0.01114422853410825,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1010,2,A2,0,22.36240913235868,0.010625004768371582,0.011092555728418628,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1010,2,A2,1,22.36240913235868,0.010625004768371582,0.011092555728418628,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1010,3,A3,0,22.202916050450042,0.0386711597442627,0.011298122346365425,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1010,3,A3,1,22.202916050450042,0.0386711597442627,0.011298122346365425,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1010,7,B4,0,22.43693864741353,0.0,0.010997782930523255,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1010,7,B4,1,22.43693864741353,0.0,0.010997782930523255,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1011,2,A2,0,22.4601560196583,0.0006249666213989258,0.010968425124540557,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1011,2,A2,1,22.4601560196583,0.0006249666213989258,0.010968425124540557,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1011,3,A3,0,22.460169132970258,0.0007908344268798828,0.010968408565238319,17,16,3216
main_F0_P020_Z0_N0.npz,F0,0.2,0,1011,3,A3,1,22.460169132970258,0.0007908344268798828,0.010968408565238319,17,16,512
main_F0_P020_Z0_N0.npz,F0,0.2,0,1011,7,B4,0,22.459910677681417,0.002343559265136719,0.010968734943479212,16,15,3015
main_F0_P020_Z0_N0.npz,F0,0.2,0,1011,7,B4,1,22.459910677681417,0.002343559265136719,0.010968734943479212,16,15,480
main_F0_P020_Z0_N0.npz,F0,0.2,0,1012,2,A2,0,22.33913946086645,0.0012500286102294922,0.011122312748370717,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1012,2,A2,1,22.33913946086645,0.0012500286102294922,0.011122312748370717,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1012,3,A3,0,22.340055661666113,0.0016403675079345703,0.011121139611842967,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1012,3,A3,1,22.340055661666113,0.0016403675079345703,0.011121139611842967,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1012,7,B4,0,22.338945356209656,0.003749656677246094,0.011122561302855223,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1012,7,B4,1,22.338945356209656,0.003749656677246094,0.011122561302855223,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1013,2,A2,0,22.32505848738622,0.0015624761581420898,0.011140358108278573,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1013,2,A2,1,22.32505848738622,0.0015624761581420898,0.011140358108278573,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1013,3,A3,0,22.32678489152113,0.0016403675079345703,0.01113814407495759,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1013,3,A3,1,22.32678489152113,0.0016403675079345703,0.01113814407495759,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1013,7,B4,0,22.325686664903564,0.003749656677246094,0.011139552448784985,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1013,7,B4,1,22.325686664903564,0.003749656677246094,0.011139552448784985,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1014,2,A2,0,22.57432573595016,0.003437495231628418,0.010825196515837401,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1014,2,A2,1,22.57432573595016,0.003437495231628418,0.010825196515837401,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1014,3,A3,0,22.539624860157225,0.01687488555908203,0.010868530610594118,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1014,3,A3,1,22.539624860157225,0.01687488555908203,0.010868530610594118,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1014,7,B4,0,22.583196473728574,0.0,0.010814146587178492,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1014,7,B4,1,22.583196473728574,0.0,0.010814146587178492,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1015,2,A2,0,22.284000590416237,0.00781252384185791,0.01119314284951466,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1015,2,A2,1,22.284000590416237,0.00781252384185791,0.01119314284951466,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1015,3,A3,0,22.144489221837663,0.033281135559082034,0.011374376897589628,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1015,3,A3,1,22.144489221837663,0.033281135559082034,0.011374376897589628,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1015,7,B4,0,22.329836313074104,0.0,0.011134231844314045,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1015,7,B4,1,22.329836313074104,0.0,0.011134231844314045,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1016,2,A2,0,22.551490816339914,0.008750057220458985,0.010853693045028482,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1016,2,A2,1,22.551490816339914,0.008750057220458985,0.010853693045028482,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1016,3,A3,0,22.53756644265438,0.01626002788543701,0.010871106584464555,17,16,3216
main_F0_P020_Z0_N0.npz,F0,0.2,0,1016,3,A3,1,22.53756644265438,0.01626002788543701,0.010871106584464555,17,16,512
main_F0_P020_Z0_N0.npz,F0,0.2,0,1016,7,B4,0,22.42898965435443,0.036093711853027344,0.011007852286494932,16,15,3015
main_F0_P020_Z0_N0.npz,F0,0.2,0,1016,7,B4,1,22.42898965435443,0.036093711853027344,0.011007852286494932,16,15,480
main_F0_P020_Z0_N0.npz,F0,0.2,0,1017,2,A2,0,22.478276286486462,0.00624997615814209,0.010945566945579455,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1017,2,A2,1,22.478276286486462,0.00624997615814209,0.010945566945579455,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1017,3,A3,0,22.43639712886783,0.020155906677246094,0.010998468604566708,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1017,3,A3,1,22.43639712886783,0.020155906677246094,0.010998468604566708,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1017,7,B4,0,22.5043666509011,0.0,0.010912738372674927,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1017,7,B4,1,22.5043666509011,0.0,0.010912738372674927,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1018,2,A2,0,22.333060976621958,0.0012500286102294922,0.011130098993320273,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1018,2,A2,1,22.333060976621958,0.0012500286102294922,0.011130098993320273,160,159,5088
