record,subject_cluster,selected_lead,segment,start_seconds,trajectory,pli_amplitude,noise,algorithm,algorithm_name,output_snr_db,prd_percent,correlation,frequency_mae_hz,tracker_calls,tracker_searches,tracker_grid_evaluations
100,subject_100,MLII,0,300,F2,0.5,none,3,A3,9.18669135848691,34.72685327232064,0.9464091994890957,0.23983292579650878,125,124,3968
100,subject_100,MLII,0,300,F2,0.5,none,7,B4,9.185392589691308,34.732046237857354,0.9463937161369584,0.24385364055633546,120,119,3808
100,subject_100,MLII,0,300,F2,0.5,20dB,2,A2,8.827864897274159,36.19151431689095,0.9421208689982808,0.239050030708313,160,159,5088
100,subject_100,MLII,0,300,F2,0.5,20dB,3,A3,8.828132194474486,36.1904005862305,0.9421242420476761,0.23765907287597657,89,88,2816
100,subject_100,MLII,0,300,F2,0.5,20dB,7,B4,8.830275355331882,36.18147204981765,0.9421532012620591,0.24214720726013184,77,76,2432
100,subject_100,MLII,0,300,F3,0.2,none,2,A2,16.463625331202106,15.02514713084597,0.989589430536119,0.08588531230564693,160,159,5088
100,subject_100,MLII,0,300,F3,0.2,none,3,A3,16.459840290702502,15.031696049360221,0.9895801350685122,0.08960941051121334,142,141,4512
100,subject_100,MLII,0,300,F3,0.2,none,7,B4,16.454126205850773,15.041588029224021,0.9895659940106797,0.0973033528956677,140,139,4448
100,subject_100,MLII,0,300,F3,0.2,20dB,2,A2,14.908211694128452,17.971710550260592,0.9851320918975923,0.09068647444814537,160,159,5088
100,subject_100,MLII,0,300,F3,0.2,20dB,3,A3,14.8951754348456,17.998703729922376,0.9850857020061589,0.10548104425437611,95,94,3008
100,subject_100,MLII,0,300,F3,0.2,20dB,7,B4,14.88786160370962,18.013865667660447,0.985060648677684,0.11336295301259648,105,104,3328
100,subject_100,MLII,0,300,F3,0.5,none,2,A2,14.898591641451741,17.991626135905918,0.9850666120648406,0.07734880447387696,160,159,5088
100,subject_100,MLII,0,300,F3,0.5,none,3,A3,14.892842662317648,18.003538297487765,0.985047048417826,0.0789341688156128,154,153,4896
100,subject_100,MLII,0,300,F3,0.5,none,7,B4,14.898112065092864,17.99261953981921,0.9850649845826195,0.07750754356384278,158,157,5024
100,subject_100,MLII,0,300,F3,0.5,20dB,2,A2,13.6780631921688,20.706030070913577,0.9802278888847927,0.07671933174133301,160,159,5088
100,subject_100,MLII,0,300,F3,0.5,20dB,3,A3,13.674008559668858,20.715698043278188,0.9802099529215312,0.07836737632751464,143,142,4544
100,subject_100,MLII,0,300,F3,0.5,20dB,7,B4,13.666112826388755,20.734537793589663,0.9801749270077178,0.0812840461730957,144,143,4576
100,subject_100,MLII,0,300,F4,0.2,none,2,A2,16.363104218848072,15.200042038171732,0.9893550176291679,0.22926953424692387,160,159,5088
100,subject_100,MLII,0,300,F4,0.2,none,3,A3,16.352980746836423,15.217768133476959,0.9893300532386005,0.23157894855338174,149,148,4736
100,subject_100,MLII,0,300,F4,0.2,none,7,B4,16.318737840634604,15.2778804723265,0.989245083003001,0.23905296911478274,150,149,4768
100,subject_100,MLII,0,300,F4,0.2,20dB,2,A2,14.618872301271848,18.580456715737817,0.9840980728157948,0.23577726350717298,160,159,5088
100,subject_100,MLII,0,300,F4,0.2,20dB,3,A3,14.608211106417162,18.603276656679828,0.9840592523183967,0.24119890199594252,151,150,4800
100,subject_100,MLII,0,300,F4,0.2,20dB,7,B4,14.614994726354048,18.588753297900116,0.9840840804254698,0.23885174261026137,152,151,4832
100,subject_100,MLII,0,300,F4,0.5,none,2,A2,13.818294749097568,20.37442037756637,0.9808835350419479,0.23808580207053176,160,159,5088
