subject_cluster,comparison,record_count,paired_condition_count,mean_output_snr_difference_db,mean_frequency_mae_difference_hz,mean_tracker_call_difference,mean_grid_evaluation_difference
subject_215,A3_minus_B4,1,72,0.026903345015362748,-0.005708124123017654,1.8333333333333333,58.666666666666664
subject_217,A3_minus_B4,1,72,0.009084311400812018,-0.002349302519038949,-4.180555555555555,-133.77777777777777
subject_219,A3_minus_B4,1,72,0.008679074189495761,-0.0021825406449099824,-6.305555555555555,-201.77777777777777
subject_220,A3_minus_B4,1,72,0.003846749879152986,-0.003023968061244287,6.180555555555555,197.77777777777777
subject_221,A3_minus_B4,1,72,-0.0004607609477794829,-0.0003079952914391982,-5.402777777777778,-172.88888888888889
subject_222,A3_minus_B4,1,72,0.02250911382450729,-0.0037127643142493083,-2.0,-64.0
subject_223,A3_minus_B4,1,72,0.0028007747729452445,-0.0032939520865912144,2.0833333333333335,66.66666666666667
subject_228,A3_minus_B4,1,72,0.02845521249587403,-0.0033973353021094378,-5.083333333333333,-162.66666666666666
subject_230,A3_minus_B4,1,72,0.00844030974637475,-0.003167544536360651,3.236111111111111,103.55555555555556
subject_231,A3_minus_B4,1,72,0.007611454788918411,-0.0025823005079056807,1.6666666666666667,53.333333333333336
subject_232,A3_minus_B4,1,72,0.0074237736547396365,-0.002285654211348101,7.097222222222222,227.11111111111111
subject_233,A3_minus_B4,1,72,0.015551369124161921,-0.003648389094704952,2.013888888888889,64.44444444444444
subject_234,A3_minus_B4,1,72,0.011802178072740865,-0.003272473082591327,6.277777777777778,200.88888888888889
