algorithm,archive,archive_algorithm_index,archive_seed_index,f42_amplitude_error,f42_clean_amplitude,f42_output_amplitude,f42_phase_error_rad,f58_amplitude_error,f58_clean_amplitude,f58_output_amplitude,f58_phase_error_rad,frequency_mae_hz,frequency_p95_abs_error_hz,input_sha256,input_snr_db,matrix,near_line,noise,output_sha256,output_snr_db,pli_amplitude,rmse,run_id,sample_count,seed,snr_improvement_db,state_fast_fraction,state_mid_fraction,state_slow_fraction,state_transitions,status,tracker_calls,trajectory
1,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,1,6,,,,,,,,,1.0,1.0,BCF43DDAC5A29B2A46A49E4B05B886BE32CD5BE4DD45BD46C937C6888CBEDD9C,-7.749251621822356,main,N0,2,DBF788D111D6C48BD625A514025775C74EAB054BF32AC448A3BEE7E94A769EA9,5.94734767729358,0.5,0.0734149812180183,main-A1-F1-P0.50-Z2-N0-S1006,8000,1006,13.696599299115936,0.0,0.0,0.0,0,PASS,0,F1
2,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,2,6,,,,,,,,,0.08267333507537841,0.29260902404759537,BCF43DDAC5A29B2A46A49E4B05B886BE32CD5BE4DD45BD46C937C6888CBEDD9C,-7.749251621822356,main,N0,2,074CD431F4646717E0A170920F9905F3441CA15687054273B8C1EE08E914B5D8,8.915776120500668,0.5,0.05216308518916305,main-A2-F1-P0.50-Z2-N0-S1006,8000,1006,16.665027742323026,1.0,0.0,0.0,0,PASS,160,F1
3,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,3,6,,,,,,,,,0.08148083686828614,0.29260902404759537,BCF43DDAC5A29B2A46A49E4B05B886BE32CD5BE4DD45BD46C937C6888CBEDD9C,-7.749251621822356,main,N0,2,2CFC9AA766CF5368AF49FF65999F6C45C0959B5F00D39B12C3BC0454A275F1BC,8.916684229603769,0.5,0.05215763182764074,main-A3-F1-P0.50-Z2-N0-S1006,8000,1006,16.665935851426127,0.131125,0.0375,0.831375,5,PASS,32,F1
0,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,0,7,,,,,,,,,1.0,1.0,CBC1C561EB283DAF1EBFA948D92746C5C3154B0061D6DCFB637A72C97336A432,-7.743821245107786,main,N0,2,5004CD8B547A2C786209333BF0EF126D39924685649C750F26BF1029ACE3D972,-5.424694563195086,0.5,0.2718859741109191,main-A0-F1-P0.50-Z2-N0-S1007,8000,1007,2.3191266819127,0.0,0.0,0.0,0,PASS,0,F1
1,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,1,7,,,,,,,,,1.0,1.0,CBC1C561EB283DAF1EBFA948D92746C5C3154B0061D6DCFB637A72C97336A432,-7.743821245107786,main,N0,2,812E86A7B5A89827C85D9C7D9A613CD2548488C11213A71835B596D2B9DE3F45,5.945232719101697,0.5,0.07343285946970177,main-A1-F1-P0.50-Z2-N0-S1007,8000,1007,13.689053964209483,0.0,0.0,0.0,0,PASS,0,F1
2,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,2,7,,,,,,,,,0.08109691143035888,0.2517200469967823,CBC1C561EB283DAF1EBFA948D92746C5C3154B0061D6DCFB637A72C97336A432,-7.743821245107786,main,N0,2,36DA3611530CEAA09020FC964726727F20EC70B150B2AF102F145FAA3A118E44,8.904652375469041,0.5,0.05222993160280348,main-A2-F1-P0.50-Z2-N0-S1007,8000,1007,16.64847362057683,1.0,0.0,0.0,0,PASS,160,F1
3,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,3,7,,,,,,,,,0.07678062915802002,0.2517200469967823,CBC1C561EB283DAF1EBFA948D92746C5C3154B0061D6DCFB637A72C97336A432,-7.743821245107786,main,N0,2,16775D42233179699D2F5DF8840E719BFE806AAF47A5012E6B9B7DB7AA0F72A6,8.905473669053368,0.5,0.052224993239369515,main-A3-F1-P0.50-Z2-N0-S1007,8000,1007,16.649294914161153,0.137375,0.0375,0.825125,5,PASS,33,F1
0,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,0,8,,,,,,,,,1.0,1.0,FD59E7F60EC2D6B65492EAF671291E0B5AA5BB6346C39549532163DD5C0D6FF1,-7.734053503521196,main,N0,2,E2D4895BAFEC02D8617FF632D32B86E9DC2B3DCEBFC066038EAE1E630223014A,-5.419803925154914,0.5,0.2717329303045944,main-A0-F1-P0.50-Z2-N0-S1008,8000,1008,2.3142495783662813,0.0,0.0,0.0,0,PASS,0,F1
1,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,1,8,,,,,,,,,1.0,1.0,FD59E7F60EC2D6B65492EAF671291E0B5AA5BB6346C39549532163DD5C0D6FF1,-7.734053503521196,main,N0,2,091FFF3E241D6A8FBC00A2D4B41CE97D99EC3C2272B238550D08A53C191CBC55,5.843761895609903,0.5,0.07429575169914732,main-A1-F1-P0.50-Z2-N0-S1008,8000,1008,13.577815399131099,0.0,0.0,0.0,0,PASS,0,F1
2,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,2,8,,,,,,,,,0.08331620693206787,0.4529441833494756,FD59E7F60EC2D6B65492EAF671291E0B5AA5BB6346C39549532163DD5C0D6FF1,-7.734053503521196,main,N0,2,0883AC5B1A4C223EF944FE0D44A2D27947F4F1DB453DE5FC8BE6C20E27EC13A5,8.693430538898141,0.5,0.053515618480851776,main-A2-F1-P0.50-Z2-N0-S1008,8000,1008,16.427484042419337,1.0,0.0,0.0,0,PASS,160,F1
